	ERR1458715	ERR1458739	ERR1458746	ERR1458747	ERR1458750	ERR1458752	ERR1458765	ERR1458793	ERR1458809	ERR1458829	ERR1458831	ERR1458855	ERR1458857	ERR1458868	ERR1458871	ERR1458881	ERR1458883	ERR1458893	ERR1458899	ERR1458906	ERR1458915	ERR1458929	ERR1458931	ERR1458936	ERR1458937	ERR1458942	ERR1458974	ERR1458980	ERR1458992	ERR1458999	ERR1459008	ERR1459017	ERR1459028	ERR1459033	ERR1459034	ERR1459035	ERR1459037	ERR1459045	ERR1459063	ERR1459072	ERR1459099	ERR1459109	ERR1459123	ERR1459124	ERR1459126	ERR1459131	ERR1459142	ERR1459146	ERR1459147	ERR1459152	ERR1459161	ERR1459162	ERR1459172	ERR1459203	ERR1459204	ERR2056783	ERR2056799
ERR1458715	0	0.3368825912475586	0.4871470034122467	0.5324658155441284	0.341923326253891	0.5158892273902893	0.3760371208190918	0.5268067121505737	0.4502116441726685	0.4436634182929993	0.2943390905857086	0.497160017490387	0.3331842720508575	0.4014708697795868	0.4205337762832642	0.2296562641859055	0.4616747498512268	0.4681239724159241	0.501537024974823	0.5992996692657471	0.4199414551258087	0.2255317270755768	0.3799650967121124	0.4691563844680786	0.440751701593399	0.3587104678153992	0.3451442122459412	0.3514401614665985	0.4584983885288239	0.4460445940494537	0.4521583318710327	0.3697722554206848	0.2941129505634308	0.4947617053985596	0.5158849954605103	0.4816766381263733	0.5086680054664612	0.4558265209197998	0.5320042371749878	0.4502514898777008	0.4935884773731232	0.4737729132175446	0.5180408954620361	0.2554705142974854	0.4856676459312439	0.4921212792396545	0.5733199715614319	0.3797998428344727	0.2442153841257095	0.446965217590332	0.3659785389900208	0.3054817318916321	0.3071407675743103	0.2700085937976837	0.4236584305763245	0.5203701853752136	0.5420741438865662
ERR1458739	0.3368825912475586	0	0.3211968243122101	0.3365246057510376	0.1566391736268997	0.316900908946991	0.1938984841108322	0.3404923975467682	0.3028536438941956	0.2532209753990173	0.1624701321125031	0.3197405934333801	0.5773882865905762	0.19745734333992	0.2252059280872345	0.1878423094749451	0.3051399886608124	0.2842637300491333	0.3309971988201141	0.4807334244251251	0.2736981213092804	0.4373839497566223	0.2414792627096176	0.2885237336158752	0.2575668692588806	0.2416843473911285	0.1417734324932098	0.1951806843280792	0.2689260542392731	0.2103513181209564	0.345789760351181	0.285455197095871	0.2155093401670456	0.3042239546775818	0.276432603597641	0.2680840194225311	0.298325389623642	0.3099724054336548	0.3646979033946991	0.3513888418674469	0.2900284826755524	0.2947902679443359	0.3255005776882172	0.1841408312320709	0.3127787113189697	0.2824498414993286	0.4330011308193207	0.226490244269371	0.2111534029245377	0.345963180065155	0.2225637435913086	0.1212457939982414	0.1735954582691193	0.2448599338531494	0.2835360467433929	0.3127124309539795	0.3832020163536072
ERR1458746	0.4871470034122467	0.3211968243122101	0	0.1983304023742676	0.2897786200046539	0.2282433807849884	0.2737603485584259	0.2729706168174744	0.2210753560066223	0.2722470164299011	0.2710703313350677	0.1165573596954346	0.628119170665741	0.261419266462326	0.1700286865234375	0.3636866509914398	0.2552239298820496	0.2586062848567963	0.2456583380699158	0.4033412635326385	0.4333294630050659	0.5786595940589905	0.3186948895454407	0.163783848285675	0.2365118265151978	0.2623186707496643	0.2338340878486633	0.2823923528194427	0.3080872297286987	0.2797746956348419	0.2915230095386505	0.4106534123420715	0.280292272567749	0.2029301077127457	0.2783318758010864	0.2766344249248505	0.2607122659683228	0.2402112483978271	0.313858836889267	0.2271887809038162	0.1859148889780045	0.1997106522321701	0.1357140392065048	0.3567631840705872	0.193457156419754	0.2075930088758469	0.3440592885017395	0.2709310352802277	0.3742116689682007	0.1915759891271591	0.2338427305221558	0.2816861271858215	0.3472300171852112	0.3396313190460205	0.1887854933738708	0.221807062625885	0.2689764201641083
ERR1458747	0.5324658155441284	0.3365246057510376	0.1983304023742676	0	0.3191683292388916	0.2375356107950211	0.3103834092617035	0.2748498916625977	0.2888680398464203	0.2796771824359894	0.3162579238414764	0.1878225654363632	0.67331862449646	0.296373724937439	0.1719838678836823	0.4002062976360321	0.3071759343147278	0.2735351622104645	0.3031180500984192	0.4300543963909149	0.4657551348209381	0.6249362230300903	0.3638342022895813	0.210724264383316	0.2790889143943787	0.2852340638637543	0.2888120710849762	0.3141810595989227	0.3248478472232819	0.3039232790470123	0.3099901974201202	0.4542587995529175	0.335984468460083	0.2268828004598618	0.2910177707672119	0.2964904606342316	0.2734862267971039	0.2857367396354675	0.3615671992301941	0.2887039482593536	0.2047895193099976	0.1514839380979538	0.1791759133338928	0.3937783539295197	0.2248139530420303	0.1919050067663193	0.3367420434951782	0.3030562400817871	0.4205969274044037	0.2403063327074051	0.2894060611724854	0.3191806077957153	0.3810383379459381	0.3817879259586334	0.2813442945480347	0.1835977733135223	0.3564253449440002
ERR1458750	0.341923326253891	0.1566391736268997	0.2897786200046539	0.3191683292388916	0	0.2879422605037689	0.1389657855033875	0.2917799651622772	0.2654001712799072	0.2140031754970551	0.1261767894029617	0.2945350706577301	0.5792361497879028	0.1832058131694794	0.1905984878540039	0.1997675150632858	0.269452840089798	0.2295203357934952	0.2918137013912201	0.4516534209251404	0.277519553899765	0.4457728862762451	0.2021464407444	0.2623931169509888	0.2498422265052795	0.1894806027412415	0.1194757968187332	0.1305564492940903	0.2339612245559692	0.2298248708248138	0.2905730009078979	0.2577513456344604	0.171611875295639	0.2765640020370483	0.2828091084957123	0.2350185960531235	0.276792049407959	0.2706649303436279	0.3340363204479218	0.2823197841644287	0.2570270299911499	0.2920497357845306	0.2915028035640717	0.183175265789032	0.2712882161140442	0.2659189105033875	0.3982994854450226	0.1686440259218216	0.2113106995820999	0.3043213784694672	0.1664498448371887	0.1279700845479965	0.1601895242929459	0.1996331661939621	0.2537124752998352	0.3022267818450928	0.3461174666881561
ERR1458752	0.5158892273902893	0.316900908946991	0.2282433807849884	0.2375356107950211	0.2879422605037689	0	0.240115687251091	0.1611707806587219	0.2076078355312347	0.2000928521156311	0.2968856394290924	0.2092702835798264	0.6481778621673584	0.2187889218330383	0.1970525234937668	0.3861235082149506	0.2786707878112793	0.1659534275531769	0.1757329255342484	0.4028367400169373	0.4390951693058014	0.6104980707168579	0.3171131312847137	0.1767143160104752	0.276390016078949	0.2509325444698334	0.2539341747760773	0.2725544571876526	0.2162364572286606	0.2615024745464325	0.1875127851963043	0.4027344286441803	0.3053052127361298	0.1822019666433334	0.235451951622963	0.2120718061923981	0.1600573658943176	0.1973269283771515	0.3142465949058533	0.1884964108467102	0.1643067747354507	0.2985361218452454	0.2278086990118027	0.3787704706192017	0.1468597799539566	0.2258692383766174	0.3003688454627991	0.2265081703662872	0.4105563461780548	0.1993280500173569	0.2521480619907379	0.2996208965778351	0.3498841822147369	0.3225854337215424	0.2355982959270477	0.2659781277179718	0.2763725221157074
ERR1458765	0.3760371208190918	0.1938984841108322	0.2737603485584259	0.3103834092617035	0.1389657855033875	0.240115687251091	0	0.2558079957962036	0.2400718927383423	0.1712645888328552	0.1529119610786438	0.2650706768035889	0.5916500687599182	0.1548037678003311	0.1779638081789017	0.2267942279577255	0.2525643110275269	0.1957532316446304	0.2396639883518219	0.4081195890903473	0.2913719713687897	0.4764533936977386	0.1816574186086655	0.244031548500061	0.2387862056493759	0.1765609979629517	0.1229175627231598	0.1148623004555702	0.1996043771505356	0.2166443318128586	0.2520209550857544	0.2560113668441772	0.1817268133163452	0.2521289885044098	0.2563015818595886	0.2162701934576035	0.2274184376001358	0.2416524887084961	0.3085041046142578	0.2572375535964966	0.2432309836149216	0.3014366030693054	0.2788549959659576	0.220570370554924	0.2419364899396896	0.2705401182174683	0.3659857511520386	0.1366699784994125	0.253212571144104	0.2906479239463806	0.1462166607379913	0.1519340574741364	0.1836740225553513	0.2096407562494278	0.2312687635421753	0.2820856273174286	0.3001121580600739
ERR1458793	0.5268067121505737	0.3404923975467682	0.2729706168174744	0.2748498916625977	0.2917799651622772	0.1611707806587219	0.2558079957962036	0	0.2232939451932907	0.1736892759799957	0.315792053937912	0.2578685879707336	0.6647961735725403	0.2681687772274017	0.2338082939386368	0.3940992057323456	0.2977051138877869	0.1632501631975174	0.1920409053564072	0.435653954744339	0.4327401518821716	0.6186906099319458	0.3399002552032471	0.2166769355535507	0.3406544029712677	0.2489334344863892	0.2732422351837158	0.2739228904247284	0.205816239118576	0.2804010510444641	0.1724757999181747	0.396734893321991	0.3036992847919464	0.1918928623199463	0.2296259999275208	0.1917365789413452	0.1694672107696533	0.216858297586441	0.331233412027359	0.204814687371254	0.2077013254165649	0.3516848385334015	0.2742443382740021	0.3888082206249237	0.1748062521219254	0.2626109421253204	0.3266892433166504	0.2176732271909714	0.4153368473052979	0.2331870347261429	0.2583632469177246	0.315134584903717	0.3438506722450256	0.3266136944293976	0.2697497308254242	0.2952226996421814	0.3082412779331207
ERR1458809	0.4502116441726685	0.3028536438941956	0.2210753560066223	0.2888680398464203	0.2654001712799072	0.2076078355312347	0.2400718927383423	0.2232939451932907	0	0.2269367575645447	0.2841788828372955	0.208516538143158	0.5885116457939148	0.2329113781452179	0.2273675352334976	0.3648660778999329	0.2372603714466095	0.236552894115448	0.2287409901618958	0.3806326687335968	0.4202633202075958	0.546807587146759	0.30552738904953	0.1532407999038696	0.2789321839809418	0.2390212863683701	0.2298735231161118	0.2433385252952576	0.2284303158521652	0.26139035820961	0.2370467483997345	0.3872059285640717	0.2768552005290985	0.2150164395570755	0.2312008440494537	0.2296492755413055	0.2084826827049255	0.1652112305164337	0.3018009662628174	0.2295025885105133	0.1773381531238556	0.298239678144455	0.2177418917417526	0.3685175478458405	0.1936775892972946	0.2412944585084915	0.3599739372730255	0.2245359271764755	0.3870179355144501	0.1830871552228928	0.2373496890068054	0.2869108021259308	0.3271483778953552	0.3415491282939911	0.2051761150360107	0.2593704462051392	0.2758312225341797
ERR1458829	0.4436634182929993	0.2532209753990173	0.2722470164299011	0.2796771824359894	0.2140031754970551	0.2000928521156311	0.1712645888328552	0.1736892759799957	0.2269367575645447	0	0.2383597046136856	0.2606491148471832	0.5935413837432861	0.1983839869499207	0.1815876811742783	0.3071501553058624	0.2473132908344269	0.1458239853382111	0.197740226984024	0.4051651656627655	0.3647176027297974	0.5416136980056763	0.2469298094511032	0.2088477909564972	0.2658099234104156	0.1820003986358643	0.2090248912572861	0.1960070431232452	0.1451713144779205	0.1863840669393539	0.1797587871551514	0.3216933608055115	0.2270522713661194	0.1853615641593933	0.2357841730117798	0.1488014757633209	0.1731535941362381	0.1959276497364044	0.2949277460575104	0.2099215239286423	0.1988523751497269	0.3195981681346893	0.2703963220119476	0.3042499423027039	0.1892579048871994	0.2371580898761749	0.3217474222183228	0.1333775520324707	0.3248645961284637	0.2478035986423492	0.1977337598800659	0.2379155308008194	0.2570818662643433	0.2703871130943298	0.2324066609144211	0.2748112380504608	0.2924796044826508
