	faith_pd
ERR1458715	10.46306971839054
ERR1458739	10.59344411305264
ERR1458746	8.546135774902691
ERR1458747	9.217128982321324
ERR1458750	11.59881359486467
ERR1458752	12.45969388677334
ERR1458793	17.70927095086602
ERR1458809	17.76610017419817
ERR1458829	17.12063965593866
ERR1458831	5.494200582754008
ERR1458855	18.54557942106709
ERR1458857	10.45557729884052
ERR1458868	13.37092976863885
ERR1458871	8.152018499727497
ERR1458881	6.9122391908877
ERR1458883	19.0941754367784
ERR1458893	12.30747489078905
ERR1458899	17.74039309013336
ERR1458906	11.5349221997226
ERR1458915	12.65483221881991
ERR1458929	4.386194009589477
ERR1458931	13.04935088017936
ERR1458936	16.26688066204687
ERR1458937	9.311611357273348
ERR1458942	12.19192873709236
ERR1458974	10.50261740512406
ERR1458980	20.85898574875229
ERR1458992	16.7583295349426
ERR1458999	14.01114036363431
ERR1459008	19.82965957496872
ERR1459028	11.14988662400759
ERR1459033	14.40438328593893
ERR1459034	11.88598261869075
ERR1459037	15.28020132223335
ERR1459045	14.04053239210768
ERR1459063	13.53717023392741
ERR1459072	10.947515660925
ERR1459099	12.24333124148338
ERR1459109	12.03861708435903
ERR1459110	14.43056769365118
ERR1459123	24.437409193439
ERR1459124	6.350684230736432
ERR1459126	10.46719447520165
ERR1459131	11.25608035851392
ERR1459142	13.10403239331189
ERR1459146	11.18660461079629
ERR1459147	4.241161198456927
ERR1459152	12.01012760763782
ERR1459162	6.537475684697743
ERR1459172	11.22738979971268
ERR1459203	8.687300363807068
ERR1459204	10.82986351210783
ERR2056799	15.40364483502225
