	ERR1458715	ERR1458739	ERR1458746	ERR1458747	ERR1458750	ERR1458752	ERR1458765	ERR1458793	ERR1458809	ERR1458829	ERR1458831	ERR1458855	ERR1458857	ERR1458868	ERR1458871	ERR1458881	ERR1458883	ERR1458893	ERR1458899	ERR1458906	ERR1458915	ERR1458929	ERR1458931	ERR1458936	ERR1458937	ERR1458942	ERR1458980	ERR1458999	ERR1459017	ERR1459028	ERR1459033	ERR1459034	ERR1459035	ERR1459037	ERR1459045	ERR1459063	ERR1459072	ERR1459099	ERR1459109	ERR1459123	ERR1459124	ERR1459126	ERR1459131	ERR1459142	ERR1459146	ERR1459147	ERR1459152	ERR1459161	ERR1459162	ERR1459172	ERR1459204	ERR2056783
ERR1458715	0	0.334385097026825	0.4768945574760437	0.5214675664901733	0.3342570662498474	0.5193436145782471	0.3618208169937134	0.5218443274497986	0.4344272613525391	0.4361692368984222	0.2825392186641693	0.4919194579124451	0.3544633686542511	0.3854987323284149	0.4120544493198395	0.2197837978601456	0.4509375393390656	0.4705027937889099	0.5025990009307861	0.5946418046951294	0.4025242924690247	0.2421571612358093	0.3797518312931061	0.4708916544914246	0.4357109665870667	0.3415361642837524	0.3478889167308807	0.4384239912033081	0.3641709089279175	0.286518007516861	0.4826807677745819	0.5111200213432312	0.4777735471725464	0.5046971440315247	0.4483496248722076	0.5324211716651917	0.4376093149185181	0.4865298569202423	0.4748595058917999	0.5094116926193237	0.2479503154754639	0.4809791445732117	0.479963481426239	0.5683514475822449	0.3636218011379242	0.2393130213022232	0.454949826002121	0.3528137803077698	0.3005966246128082	0.2947373688220978	0.4150248169898987	0.5103062987327576
ERR1458739	0.334385097026825	0	0.322030246257782	0.3339391350746155	0.1703908890485764	0.3274504542350769	0.1923835575580597	0.3547933995723724	0.3114805817604065	0.2811563611030579	0.1738362908363342	0.3169452548027039	0.5908197164535522	0.2027816474437714	0.2206158936023712	0.195907860994339	0.308489054441452	0.3051480948925018	0.3466842770576477	0.485396534204483	0.2924713790416718	0.4450203478336334	0.2448073476552963	0.2856010794639587	0.257635235786438	0.2377050668001175	0.2027944326400757	0.2144031226634979	0.2976727485656738	0.2223404496908188	0.3065060079097748	0.2709522843360901	0.2693496942520142	0.3025558292865753	0.3328069150447845	0.3764757513999939	0.3463030755519867	0.2964352965354919	0.2984464168548584	0.326903223991394	0.1916054636240005	0.3139534592628479	0.2771553695201874	0.4380459189414978	0.225660651922226	0.2259650379419327	0.3397808074951172	0.2176985591650009	0.127842977643013	0.1863998770713806	0.2870597243309021	0.3079591393470764
ERR1458746	0.4768945574760437	0.322030246257782	0	0.2089332789182663	0.308711975812912	0.2327048629522324	0.2856244444847107	0.2868770062923431	0.2158829420804977	0.278279036283493	0.2762995958328247	0.1203876137733459	0.6305549144744873	0.2530185878276825	0.1830996572971344	0.3592052459716797	0.2705414295196533	0.2634049355983734	0.2564217448234558	0.3940815329551697	0.4426232576370239	0.5773240327835083	0.3121070265769958	0.1512801945209503	0.2192984074354172	0.2662438452243805	0.2786754667758942	0.2856894731521606	0.4116875529289246	0.2741434574127197	0.2080797106027603	0.268140584230423	0.2773713171482086	0.2587855160236359	0.2490128129720688	0.3272003829479218	0.2231242805719376	0.2017009258270264	0.2161107063293457	0.141867071390152	0.3584254682064056	0.1794383674860001	0.2121520638465881	0.3468411266803741	0.2632910907268524	0.3755739033222198	0.1822792142629623	0.2348315864801407	0.279134601354599	0.352445125579834	0.1907093077898026	0.224840447306633
ERR1458747	0.5214675664901733	0.3339391350746155	0.2089332789182663	0	0.3335597515106201	0.2350055724382401	0.3137887120246887	0.2821794748306274	0.2879906892776489	0.2866007685661316	0.3220368921756744	0.1932194083929062	0.6784523725509644	0.2867804765701294	0.1705298721790314	0.3918834626674652	0.3153217434883118	0.2779091000556946	0.3109452724456787	0.4215018749237061	0.471741646528244	0.6246040463447571	0.3574709594249725	0.2146530151367188	0.267832338809967	0.2944477796554565	0.3108731508255005	0.3037411272525787	0.451107919216156	0.334971010684967	0.2281720340251923	0.2795286774635315	0.2784143388271332	0.2777136266231537	0.2960996627807617	0.3604508638381958	0.2883504331111908	0.2111856788396835	0.1660095900297165	0.1884525120258331	0.3914281725883484	0.2153740078210831	0.1921102106571198	0.3391252756118774	0.2984472513198853	0.4195443689823151	0.2379638850688934	0.2806751430034637	0.3161643147468567	0.3815821707248688	0.284111499786377	0.1714371144771576
ERR1458750	0.3342570662498474	0.1703908890485764	0.308711975812912	0.3335597515106201	0	0.3170276582241058	0.1372643858194351	0.3106003999710083	0.2739960849285126	0.2366447448730469	0.1364629715681076	0.3071165382862091	0.5948050618171692	0.1879344135522842	0.2049387246370316	0.195655956864357	0.2880176901817322	0.2526663839817047	0.3077880144119263	0.4588631093502045	0.2868542969226837	0.4490179121494293	0.2103413790464401	0.2715925574302673	0.2634241878986359	0.1925918161869049	0.1524972021579742	0.2398787438869476	0.2638222575187683	0.1706219613552094	0.2890172004699707	0.2904762327671051	0.2560815811157227	0.2944416403770447	0.2831130027770996	0.3508210182189941	0.2801331281661987	0.2727744877338409	0.3084291815757751	0.3065015971660614	0.1806421279907227	0.2839593887329102	0.2830794155597687	0.4099623262882233	0.1651022136211395	0.2127332538366318	0.3115253448486328	0.1733257621526718	0.1362123787403107	0.167723223567009	0.2766333818435669	0.3063104748725891
ERR1458752	0.5193436145782471	0.3274504542350769	0.2327048629522324	0.2350055724382401	0.3170276582241058	0	0.2577719390392303	0.1827233582735062	0.2244438678026199	0.2073828727006912	0.3095160722732544	0.2048014551401138	0.6641961932182312	0.2196900248527527	0.1979392319917679	0.395097017288208	0.3019722402095795	0.1685696095228195	0.1937669068574905	0.3953354954719543	0.4522709250450134	0.6236438751220703	0.3215344846248627	0.187777578830719	0.2801106870174408	0.2720488011837006	0.2861372232437134	0.2657579183578491	0.4131976068019867	0.3168889284133911	0.1896950304508209	0.2393471300601959	0.2112725526094437	0.1781835108995438	0.2094960361719131	0.3342880010604858	0.2051502913236618	0.179566964507103	0.3045739531517029	0.2379852533340454	0.3847753703594208	0.1453541219234467	0.2431947588920593	0.2943366169929504	0.2444403171539307	0.4223218560218811	0.1885992586612701	0.2520215213298798	0.3005244135856628	0.3666471242904663	0.2438760697841644	0.2643422484397888
ERR1458765	0.3618208169937134	0.1923835575580597	0.2856244444847107	0.3137887120246887	0.1372643858194351	0.2577719390392303	0	0.2644193172454834	0.2417981177568436	0.1866986155509949	0.1559340059757233	0.2641990780830383	0.6052298545837402	0.1489464193582535	0.1766453385353088	0.2104872316122055	0.2635172307491302	0.2106884121894836	0.2537427544593811	0.4172867238521576	0.2854946553707123	0.4729531407356262	0.1920746862888336	0.2383171766996384	0.2470841556787491	0.1703381538391113	0.1249203532934189	0.206096887588501	0.2497752904891968	0.1788383424282074	0.2505200803279877	0.2625064551830292	0.2193654626607895	0.2320491224527359	0.2442462742328644	0.3196880221366882	0.2522982656955719	0.2534958124160767	0.311723530292511	0.2884659767150879	0.2109450399875641	0.2474197000265121	0.26582270860672	0.3752035796642303	0.128708690404892	0.2487758696079254	0.2919079065322876	0.1451343595981598	0.1472224444150925	0.175333172082901	0.2506231367588043	0.2777472734451294
ERR1458793	0.5218443274497986	0.3547933995723724	0.2868770062923431	0.2821794748306274	0.3106003999710083	0.1827233582735062	0.2644193172454834	0	0.2297798842191696	0.1738791316747665	0.3328518867492676	0.2716088891029358	0.6770892739295959	0.2720069289207458	0.2472040206193924	0.3973844647407532	0.32803675532341	0.1501930356025696	0.1937578022480011	0.4323825836181641	0.4417400360107422	0.6254960894584656	0.3459368348121643	0.230290949344635	0.3478941321372986	0.2641249597072601	0.290543407201767	0.2764877378940582	0.4069620668888092	0.311553031206131	0.206625834107399	0.2298369705677032	0.1849954873323441	0.1758701950311661	0.2271053194999695	0.3442838191986084	0.2135134488344193	0.2210257649421692	0.3719690144062042	0.2935585975646973	0.3904699683189392	0.1915276348590851	0.2815602719783783	0.328290581703186	0.2279821634292603	0.4230714440345764	0.2311376333236694	0.2592071294784546	0.3317082226276398	0.3502483069896698	0.2855951189994812	0.3025497198104858
ERR1458809	0.4344272613525391	0.3114805817604065	0.2158829420804977	0.2879906892776489	0.2739960849285126	0.2244438678026199	0.2417981177568436	0.2297798842191696	0	0.2150053977966309	0.2869952321052551	0.207234114408493	0.5875742435455322	0.2221686244010925	0.2314067184925079	0.3565577566623688	0.2372863441705704	0.2332074493169785	0.2353678345680237	0.3801643252372742	0.4176573157310486	0.5455064177513123	0.2984869480133057	0.156100407242775	0.2744508385658264	0.243848130106926	0.2335115075111389	0.2513260245323181	0.3893710970878601	0.2637224495410919	0.2053976953029633	0.2253590375185013	0.2220864146947861	0.2054201662540436	0.1725286692380905	0.3011592924594879	0.2226071655750275	0.1772892624139786	0.3023073375225067	0.2197471708059311	0.3598437309265137	0.1865625381469727	0.2347816079854965	0.3538074493408203	0.2200241833925247	0.3834240436553955	0.1843606978654861	0.2289742231369019	0.2766452431678772	0.326242059469223	0.1902260035276413	0.2619222402572632
ERR1458829	0.4361692368984222	0.2811563611030579	0.278279036283493	0.2866007685661316	0.2366447448730469	0.2073828727006912	0.1866986155509949	0.1738791316747665	0.2150053977966309	0	0.2614579796791077	0.2635747492313385	0.6008541584014893	0.200721263885498	0.198462188243866	0.3121543824672699	0.266775906085968	0.1404699236154556	0.1991000771522522	0.3957910239696503	0.3781750202178955	0.5458483099937439	0.2540562152862549	0.2081481069326401	0.2792046666145325	0.1936368942260742	0.2199136316776276	0.1916731745004654	0.3361362218856812	0.230219379067421	0.1914021670818329	0.2467327564954758	0.1600690335035324	0.1830713301897049	0.1899274736642838	0.3123868405818939	0.1915962994098663	0.2059953957796097	0.3378500938415527	0.286163717508316	0.3092402517795563	0.1950944662094116	0.2458294034004211	0.3142602145671844	0.1393689215183258	0.3296841382980347	0.2311536967754364	0.2008905708789825	0.2589499354362488	0.2737552523612976	0.2453465610742569	0.2840727865695953
