	ERR1458739	ERR1458746	ERR1458747	ERR1458750	ERR1458752	ERR1458765	ERR1458793	ERR1458809	ERR1458829	ERR1458831	ERR1458855	ERR1458857	ERR1458868	ERR1458871	ERR1458881	ERR1458883	ERR1458893	ERR1458899	ERR1458906	ERR1458915	ERR1458929	ERR1458931	ERR1458936	ERR1458937	ERR1458942	ERR1458980	ERR1458992	ERR1458999	ERR1459008	ERR1459017	ERR1459028	ERR1459033	ERR1459034	ERR1459037	ERR1459045	ERR1459063	ERR1459072	ERR1459099	ERR1459109	ERR1459123	ERR1459124	ERR1459126	ERR1459131	ERR1459142	ERR1459146	ERR1459147	ERR1459152	ERR1459161	ERR1459162	ERR1459172	ERR1459203	ERR1459204	ERR2056783	ERR2056799
ERR1458739	0	0.3141473531723022	0.3291407525539398	0.1775843948125839	0.3209406733512878	0.1947157979011536	0.350021630525589	0.3015021681785583	0.2694401741027832	0.1712122410535812	0.3104904592037201	0.5885941982269287	0.190492644906044	0.2197255641222	0.1970394998788834	0.313368022441864	0.2965621650218964	0.3295864164829254	0.4898621439933777	0.2792932689189911	0.4453896582126617	0.246379017829895	0.2817461490631104	0.2492220550775528	0.2559061646461487	0.1884392499923706	0.2656611800193787	0.2076506912708282	0.351579487323761	0.2907836735248566	0.218107596039772	0.3045391142368317	0.2748668491840363	0.3069912791252136	0.3174533545970917	0.3713792562484741	0.3424297571182251	0.2944138050079346	0.2930955588817596	0.323002427816391	0.1986571401357651	0.3093661069869995	0.2831407487392426	0.4370987415313721	0.2226595729589462	0.2245391458272934	0.3517392575740814	0.2266467958688736	0.1238882318139076	0.1802832633256912	0.2513480484485626	0.2847853302955627	0.2970934808254242	0.3868092000484467
ERR1458746	0.3141473531723022	0	0.2058227956295013	0.2935926020145416	0.2306505441665649	0.276232123374939	0.2734815180301666	0.1998745501041412	0.2720310389995575	0.2735920250415802	0.1187825351953506	0.6251673698425293	0.2409972846508026	0.1709929555654526	0.3581072688102722	0.2646250128746033	0.253482460975647	0.2432788759469986	0.3922493159770966	0.4346217215061188	0.5748709440231323	0.3107446432113647	0.1531978994607925	0.2310294210910797	0.262532502412796	0.2704671621322632	0.3014864325523376	0.2752196788787842	0.2900299429893494	0.398031622171402	0.2631611227989197	0.2013817131519318	0.2639751434326172	0.2716759741306305	0.2301178872585297	0.3231920301914215	0.2219729721546173	0.1982634365558624	0.1992087364196777	0.1369916945695877	0.3627223968505859	0.1830572187900543	0.2063133865594864	0.3374705016613007	0.2549265027046204	0.3701110780239105	0.1870918273925781	0.2341977506875992	0.2779276072978973	0.3460555374622345	0.3379793167114258	0.1941849440336227	0.21857950091362	0.2627847790718079
ERR1458747	0.3291407525539398	0.2058227956295013	0	0.3229177594184875	0.2332269847393036	0.3108045756816864	0.269166499376297	0.2753896415233612	0.2810336053371429	0.321077972650528	0.1898354440927505	0.6774323582649231	0.2837179005146027	0.1715071797370911	0.3976421058177948	0.3129561245441437	0.2691864967346191	0.3071747720241547	0.4242636263370514	0.4671986997127533	0.6251783967018127	0.3645441234111786	0.2158432006835938	0.2734065651893616	0.2915672063827515	0.3146840631961823	0.3204788565635681	0.3099473416805267	0.3165372312068939	0.4525791704654694	0.3353560566902161	0.2213961184024811	0.2760524153709412	0.3004513382911682	0.283481627702713	0.3724377155303955	0.3033508062362671	0.2048443406820297	0.1530015766620636	0.2001636624336243	0.4003905057907104	0.2208820879459381	0.1946057379245758	0.3389890789985657	0.2949730157852173	0.4194822013378143	0.2455828785896301	0.2892241775989532	0.3211906552314758	0.3795776963233948	0.384348064661026	0.2900215685367584	0.1664242893457413	0.3585236370563507
ERR1458750	0.1775843948125839	0.2935926020145416	0.3229177594184875	0	0.2986874878406525	0.1447623074054718	0.2999325394630432	0.2721349596977234	0.2304082810878754	0.1291496455669403	0.2971997857093811	0.5883055329322815	0.1913517117500305	0.1967455297708511	0.2004605978727341	0.2903979122638702	0.2462133914232254	0.2901442646980286	0.4597089290618896	0.2829996943473816	0.4467511475086212	0.2051781564950943	0.2661644816398621	0.2546659708023071	0.1984819918870926	0.1311838179826736	0.2419376373291016	0.2397926449775696	0.2940014600753784	0.2607157528400421	0.1580188721418381	0.2812231779098511	0.2962619662284851	0.2928340137004852	0.2717242240905762	0.3494135737419128	0.2673456966876984	0.2729735970497131	0.2952826321125031	0.3000666499137878	0.1901610344648361	0.2656519711017609	0.2758066952228546	0.4005929231643677	0.1565464586019516	0.2115937769412994	0.3101343512535095	0.172503799200058	0.1411521732807159	0.1741740852594376	0.191603347659111	0.2670437693595886	0.2952693402767181	0.3475065529346466
ERR1458752	0.3209406733512878	0.2306505441665649	0.2332269847393036	0.2986874878406525	0	0.2453756481409073	0.1623601168394089	0.2084930986166	0.2007784247398376	0.3003406822681427	0.2172291874885559	0.6546286940574646	0.225148931145668	0.2034743875265121	0.3899011015892029	0.3049002885818481	0.1649935096502304	0.1937560886144638	0.4083361923694611	0.4462528228759766	0.6146332025527954	0.3222275078296661	0.1854514330625534	0.2749522030353546	0.2584453821182251	0.2801943719387054	0.2295561730861664	0.2655008137226105	0.2025713175535202	0.407139003276825	0.3148205578327179	0.1754797548055649	0.2276744991540909	0.1883052736520767	0.1959310173988342	0.3341641426086426	0.2117554247379303	0.1626578271389008	0.2975574731826782	0.2406447976827621	0.3902726471424103	0.1414795070886612	0.2447459101676941	0.2955107390880585	0.2337038815021515	0.4166592955589294	0.2026899605989456	0.2575502693653107	0.3032601177692413	0.3606154322624207	0.3330927491188049	0.2452419400215149	0.2522972226142883	0.2876263558864594
ERR1458765	0.1947157979011536	0.276232123374939	0.3108045756816864	0.1447623074054718	0.2453756481409073	0	0.2622142136096954	0.2428061366081238	0.182280644774437	0.1638788878917694	0.2705289125442505	0.6022093892097473	0.1599906384944916	0.1769555509090424	0.2289858311414719	0.2689169943332672	0.2053556591272354	0.2439189106225967	0.4108075797557831	0.2930927872657776	0.4829259514808655	0.1874190866947174	0.2409491837024689	0.2314762026071548	0.1846517622470856	0.1330572515726089	0.1973408460617065	0.210295632481575	0.2526264786720276	0.2644624412059784	0.1790143698453903	0.2552319765090942	0.2549233734607697	0.2240670174360275	0.246123343706131	0.3225452303886414	0.2538856565952301	0.2460523545742035	0.3067507743835449	0.2827490568161011	0.2313875108957291	0.2407523095607758	0.2668219208717346	0.3645909130573273	0.1305512189865112	0.2572179436683655	0.2967532277107239	0.1488442271947861	0.1606992781162262	0.1844294816255569	0.2169803828001022	0.2468937486410141	0.2760228514671326	0.3069773316383362
ERR1458793	0.350021630525589	0.2734815180301666	0.269166499376297	0.2999325394630432	0.1623601168394089	0.2622142136096954	0	0.2282716631889343	0.1765642315149307	0.3215049505233765	0.2735769748687744	0.6704376935958862	0.286765456199646	0.2400079667568207	0.3973627984523773	0.3259868621826172	0.152840793132782	0.1866328418254852	0.4405232965946198	0.4421404302120209	0.6207216382026672	0.3459804654121399	0.2240075469017029	0.342556357383728	0.2512266933917999	0.2877762615680695	0.2223442941904068	0.2743851542472839	0.1866385191679001	0.4036198556423187	0.3112372159957886	0.1916706264019012	0.2128689736127853	0.1880347430706024	0.2181452959775925	0.3488231003284454	0.2282507419586182	0.2029297053813934	0.350450187921524	0.2849037349224091	0.3993605971336365	0.172133594751358	0.2830043435096741	0.3235382437705994	0.2173921763896942	0.4194729924201965	0.2305030226707458	0.2643279433250427	0.326436460018158	0.3612100183963776	0.3258753418922424	0.2817779779434204	0.2851075828075409	0.3242290318012238
ERR1458809	0.3015021681785583	0.1998745501041412	0.2753896415233612	0.2721349596977234	0.2084930986166	0.2428061366081238	0.2282716631889343	0	0.2230565398931503	0.283724308013916	0.1972893476486206	0.5930531620979309	0.2360599189996719	0.2204731106758118	0.3648768365383148	0.2484051585197449	0.2360043823719025	0.2156510651111603	0.3820585012435913	0.4208745956420898	0.5486937761306763	0.3010560274124146	0.1519402116537094	0.2701410353183746	0.2418214082717896	0.2431091517210007	0.2240017950534821	0.2565694749355316	0.2371730953454971	0.3910322785377502	0.2668848931789398	0.209294930100441	0.2214854955673218	0.2114087641239166	0.1605662554502487	0.3108826279640198	0.2167513966560364	0.1640624403953552	0.2854396402835846	0.1955956220626831	0.3707771897315979	0.174305647611618	0.2212682813405991	0.3458988964557648	0.2150616049766541	0.3867508471012115	0.1819423586130142	0.2336953282356262	0.2798506021499634	0.3265500366687775	0.3406478762626648	0.1972855031490326	0.2521768510341644	0.2692916095256805
ERR1458829	0.2694401741027832	0.2720310389995575	0.2810336053371429	0.2304082810878754	0.2007784247398376	0.182280644774437	0.1765642315149307	0.2230565398931503	0	0.2546399533748627	0.2731558382511139	0.6002389788627625	0.2167213559150696	0.193312332034111	0.3109102249145508	0.2743451595306396	0.1466931253671646	0.204268753528595	0.4038847982883453	0.3776966631412506	0.5450286865234375	0.2528813481330872	0.2100167721509933	0.2767628133296967	0.1803667545318604	0.2165083140134811	0.1468889713287354	0.1879891008138657	0.160085916519165	0.330228328704834	0.2343820035457611	0.1888749003410339	0.229830875992775	0.1763473600149155	0.1904964447021484	0.3098492622375488	0.1983256936073303	0.2069560140371323	0.3253354728221893	0.2815417647361755	0.31520676612854	0.1900599896907806	0.2488382309675217	0.3203604817390442	0.1387330740690231	0.330963671207428	0.248402014374733	0.2078768014907837	0.2559903562068939	0.2714240849018097	0.2700176239013672	0.2515653967857361	0.2737281322479248	0.3040010333061218
ERR1458831	0.1712122410535812	0.2735920250415802	0.321077972650528	0.1291496455669403	0.3003406822681427	0.1638788878917694	0.3215049505233765	0.283724308013916	0.2546399533748627	0	0.285534143447876	0.5703871250152588	0.1964106261730194	0.188130110502243	0.1397717744112015	0.2914518117904663	0.2545240223407745	0.3045570552349091	0.4637818336486816	0.2443493455648422	0.4136659502983093	0.2095784395933151	0.2727390229701996	0.2285589426755905	0.2032967358827591	0.1319206058979034	0.2751631736755371	0.2541196346282959	0.3141334354877472	0.2093674689531326	0.1483100950717926	0.2895708382129669	0.315301924943924	0.3202237486839294	0.2698804140090942	0.3640099465847015	0.2943619191646576	0.290205329656601	0.2639495134353638	0.2988576591014862	0.1191029697656631	0.2708931863307953	0.3031899333000183	0.408192366361618	0.1808120608329773	0.1378880441188812	0.3019649386405945	0.1813433617353439	0.0927421897649765	0.1512470692396164	0.1520395427942276	0.2621461749076843	0.2988105416297913	0.3573942482471466
