	faith_pd
ERR1458715	8.162290259472908
ERR1458739	10.91119343163238
ERR1458746	10.12353330598144
ERR1458747	10.72903259688602
ERR1458750	12.38836982061055
ERR1458752	13.75216409153627
ERR1458765	14.02961234231941
ERR1458793	17.56761749866683
ERR1458809	17.74114120060523
ERR1458829	18.49841953687587
ERR1458831	6.437630452517915
ERR1458855	13.97833249047372
ERR1458857	9.725133993201442
ERR1458868	15.47581576815263
ERR1458871	9.442520356027952
ERR1458881	6.684963189328249
ERR1458883	15.90362890361807
ERR1458893	13.03572789514633
ERR1458899	19.28105858439799
ERR1458906	11.55812774455651
ERR1458915	10.96515449339773
ERR1458929	7.532141966325844
ERR1458931	15.1438213617051
ERR1458936	15.65093369347333
ERR1458937	9.780858912303616
ERR1458942	12.2871060445912
ERR1458974	11.97819783574223
ERR1458980	18.31245255216396
ERR1458992	18.75388062191506
ERR1458999	15.6714355524316
ERR1459008	21.70748788625023
ERR1459017	14.23675242499276
ERR1459028	15.79047023735825
ERR1459033	14.47675367863321
ERR1459034	13.92064503472981
ERR1459035	19.07192466181877
ERR1459037	17.14511521906351
ERR1459045	13.77733219273084
ERR1459063	13.43714306320436
ERR1459072	11.16576562358015
ERR1459099	13.87538370519231
ERR1459109	7.663253246843473
ERR1459123	26.11292813637739
ERR1459124	6.203057256382863
ERR1459126	11.63950060268445
ERR1459131	10.6558985157048
ERR1459142	11.3607645041354
ERR1459146	11.40481456826242
ERR1459147	4.905008681813197
ERR1459152	9.518320222122489
ERR1459161	15.78165639513103
ERR1459162	8.847584944209965
ERR1459172	12.57195464666408
ERR1459203	9.880686359212396
ERR1459204	15.73140118085822
ERR2056783	15.35904431473397
ERR2056799	17.7759873409199
