	observed_features
L1S105	54
L1S140	58
L1S208	72
L1S257	75
L1S281	69
L1S57	63
L1S76	52
L1S8	39
L2S155	100
L2S175	97
L2S204	82
L2S222	131
L2S240	39
L2S309	58
L2S357	48
L2S382	118
L3S294	40
L3S313	46
L3S378	30
L4S112	129
L4S137	120
L4S63	173
L5S104	25
L5S155	21
L5S174	28
L5S203	29
L5S222	26
L5S240	23
L6S20	42
L6S68	39
L6S93	47
