	observed_features
L1S105	61
L1S140	62
L1S208	81
L1S257	75
L1S281	68
L1S57	69
L1S76	55
L1S8	42
L2S155	103
L2S175	97
L2S204	83
L2S222	142
L2S240	45
L2S357	51
L2S382	123
L4S112	135
L4S137	123
L4S63	190
L5S104	25
L5S155	21
L5S174	28
L5S203	29
L5S222	27
L5S240	23
L6S20	40
L6S68	41
L6S93	42
