	faith_pd
ERR1458715	14.0298827511049
ERR1458739	11.30855643208696
ERR1458746	12.07653707647316
ERR1458747	11.74556188894425
ERR1458750	14.79577458209738
ERR1458752	14.27825773513113
ERR1458765	16.38256514757931
ERR1458793	20.68914087411318
ERR1458809	20.11838703257289
ERR1458829	20.7114784762949
ERR1458831	6.811711549153948
ERR1458855	18.64487314386242
ERR1458857	14.89187326250385
ERR1458868	19.1811039503271
ERR1458871	10.38386960893138
ERR1458881	7.990606644913372
ERR1458883	24.81890144500286
ERR1458893	15.72257982497361
ERR1458899	34.21837549312585
ERR1458906	13.64568607641155
ERR1458915	14.17554696647486
ERR1458929	7.847923695149987
ERR1458931	16.63839653723791
ERR1458936	19.16571560696161
ERR1458937	11.65080944229976
ERR1458942	14.88719849840033
ERR1458974	13.1914672792622
ERR1458980	24.74052095551372
ERR1458992	21.73719003241845
ERR1458999	20.15651099111923
ERR1459008	27.82354656397774
ERR1459017	16.72623666061877
ERR1459028	22.6405586146924
ERR1459033	17.02314147240834
ERR1459034	17.3310939101548
ERR1459035	22.61453139207601
ERR1459037	19.27381501931444
ERR1459045	16.37339921447126
ERR1459063	15.47150053588738
ERR1459072	13.06677581373778
ERR1459099	16.66891228009063
ERR1459109	17.86034776584875
ERR1459110	25.20241955510432
ERR1459123	51.35153412038648
ERR1459124	7.791843129257003
ERR1459126	12.72862745268112
ERR1459131	11.97690167137949
ERR1459142	15.75441442819142
ERR1459146	12.88913975732538
ERR1459147	4.970969011653899
ERR1459152	11.44579035374809
ERR1459161	18.29106391053659
ERR1459162	9.532906737338338
ERR1459172	14.61077961830106
ERR1459203	12.0130934841255
ERR1459204	23.49901319820473
ERR2056783	19.12047733920197
ERR2056799	22.03693971379042
