	ERR1458715	ERR1458739	ERR1458746	ERR1458747	ERR1458750	ERR1458752	ERR1458765	ERR1458793	ERR1458809	ERR1458829	ERR1458831	ERR1458855	ERR1458857	ERR1458868	ERR1458871	ERR1458881	ERR1458883	ERR1458893	ERR1458899	ERR1458906	ERR1458915	ERR1458929	ERR1458931	ERR1458936	ERR1458937	ERR1458942	ERR1458974	ERR1458980	ERR1458992	ERR1458999	ERR1459008	ERR1459017	ERR1459028	ERR1459033	ERR1459034	ERR1459035	ERR1459037	ERR1459045	ERR1459063	ERR1459072	ERR1459099	ERR1459109	ERR1459110	ERR1459123	ERR1459124	ERR1459126	ERR1459131	ERR1459142	ERR1459146	ERR1459147	ERR1459152	ERR1459161	ERR1459162	ERR1459172	ERR1459203	ERR1459204	ERR2056783	ERR2056799
ERR1458715	0	0.3299007713794708	0.4768975973129272	0.5232040882110596	0.3352980315685272	0.5115044713020325	0.3652170598506927	0.5187788009643555	0.4419324398040771	0.4394358396530151	0.2819538414478302	0.4849435687065125	0.3519253134727478	0.381644070148468	0.4042546451091766	0.2140582948923111	0.4602254927158356	0.4637957513332367	0.4952042996883392	0.5941064953804016	0.3981696367263794	0.2363341748714447	0.3742984533309937	0.4672365784645081	0.436506062746048	0.3491369485855103	0.3367231786251068	0.3430221080780029	0.4501416981220245	0.4323237240314484	0.4424917697906494	0.3543989956378937	0.2843208611011505	0.4853027760982513	0.5102137327194214	0.4765139520168304	0.5040451288223267	0.4447317719459534	0.5295919179916382	0.4370113611221313	0.4853033423423767	0.4640430510044098	0.2549943327903748	0.509386420249939	0.2411506175994873	0.4785645306110382	0.4794869720935822	0.5658815503120422	0.3627721965312958	0.2341574132442474	0.4447480440139771	0.3568154573440552	0.2948062419891357	0.2915172576904297	0.2554948329925537	0.4223777651786804	0.5106370449066162	0.5327714681625366
ERR1458739	0.3299007713794708	0	0.3212111592292786	0.3359015882015228	0.1673425436019897	0.319892555475235	0.1912215650081635	0.3527266085147858	0.3033794164657593	0.2675997316837311	0.1621587425470352	0.3160226345062256	0.5802310705184937	0.1957322210073471	0.2200415879487991	0.1891135275363922	0.3090092539787292	0.2892948389053345	0.3340247869491577	0.4828954041004181	0.2791537344455719	0.4367128610610962	0.2395747452974319	0.2904746830463409	0.2607581615447998	0.246762216091156	0.1458939015865326	0.1882810741662979	0.2645354866981506	0.2090735584497452	0.3488033711910248	0.2892032861709595	0.2143328338861465	0.3052721917629242	0.2761336863040924	0.2649869620800018	0.3054681420326233	0.3175785541534424	0.3672174513339996	0.3455226421356201	0.2954070270061493	0.2933451235294342	0.2329093366861343	0.3278254270553589	0.1890652775764465	0.3164726793766022	0.2866241037845612	0.4397253692150116	0.2163764983415604	0.216376319527626	0.3397077023983002	0.2310083210468292	0.1249104142189026	0.175684317946434	0.2453112900257111	0.2880603075027466	0.3119074404239655	0.3815941214561462
ERR1458746	0.4768975973129272	0.3212111592292786	0	0.2094689607620239	0.2986432313919067	0.2207847386598587	0.2763516902923584	0.2837593555450439	0.2067036926746368	0.2762638628482819	0.2671304941177368	0.117043524980545	0.625548779964447	0.2576702833175659	0.1741753220558167	0.3564735352993011	0.2596805393695831	0.2520090639591217	0.2457555830478668	0.3979464769363403	0.4363535344600677	0.5735271573066711	0.3088383376598358	0.1508234441280365	0.2249753475189209	0.2710683047771454	0.2305158376693726	0.2736197710037231	0.3021119832992554	0.2737700343132019	0.2920938730239868	0.4023988842964172	0.2791989743709564	0.2009887099266052	0.2695789635181427	0.2809936106204987	0.2697103321552277	0.2369728535413742	0.3159153163433075	0.2250599712133408	0.1994831264019012	0.2037443071603775	0.3982553482055664	0.1401935666799545	0.3573386967182159	0.1840340942144394	0.2152847051620483	0.339310884475708	0.2636244297027588	0.3735101819038391	0.1838970184326172	0.2390183359384537	0.2804808914661407	0.3494404256343842	0.3382700383663177	0.1941754370927811	0.224131241440773	0.2587772607803345
ERR1458747	0.5232040882110596	0.3359015882015228	0.2094689607620239	0	0.3281776309013367	0.2344816476106644	0.3133234679698944	0.2814820408821106	0.2778213620185852	0.282895565032959	0.3135130703449249	0.2006215900182724	0.6738425493240356	0.2954426407814026	0.1774912476539612	0.3937907218933105	0.3031974136829376	0.2728939354419708	0.3088006675243378	0.4252022802829742	0.4679251313209534	0.6224216818809509	0.3614862859249115	0.209281861782074	0.2732923626899719	0.2843804955482483	0.2918873131275177	0.3078988492488861	0.3190825879573822	0.3007811009883881	0.3154403269290924	0.4506759345531464	0.3279842436313629	0.2279158532619476	0.2748642265796661	0.2910563051700592	0.2900825440883636	0.2931400537490845	0.3613811731338501	0.2946603000164032	0.2108886390924454	0.1514429152011871	0.4364731013774872	0.1848821192979813	0.3960145115852356	0.2213948667049408	0.189598023891449	0.3434059619903564	0.2972663044929504	0.4197544753551483	0.2440396845340729	0.2945288419723511	0.3210880160331726	0.3805912435054779	0.377780020236969	0.285213828086853	0.1726251244544983	0.3562284708023071
ERR1458750	0.3352980315685272	0.1673425436019897	0.2986432313919067	0.3281776309013367	0	0.2998596727848053	0.1380411237478256	0.3034175932407379	0.2738302946090698	0.2302079051733017	0.1349515318870544	0.2978696823120117	0.5852174162864685	0.1809948086738586	0.1944851130247116	0.199307769536972	0.2841104567050934	0.2401110827922821	0.2966597378253937	0.4576730728149414	0.2853688597679138	0.4479095637798309	0.2066253870725632	0.2714890837669373	0.2575450837612152	0.1984848082065582	0.1269717067480087	0.1352661103010178	0.2384386509656906	0.2327360063791275	0.2971928417682648	0.2639181911945343	0.1727178245782852	0.2831748723983765	0.2906427383422852	0.2465994209051132	0.2904650270938873	0.2756360769271851	0.3412521183490753	0.2822104692459106	0.270135909318924	0.2974201142787933	0.2342026829719543	0.299976259469986	0.1888976693153381	0.2795529961585999	0.279897004365921	0.405035138130188	0.1607920825481415	0.21552774310112	0.3071869313716888	0.180981308221817	0.1351345628499985	0.1664641797542572	0.2044423520565033	0.2747327983379364	0.3044687211513519	0.3447639942169189
ERR1458752	0.5115044713020325	0.319892555475235	0.2207847386598587	0.2344816476106644	0.2998596727848053	0	0.242861807346344	0.1764801740646362	0.2050703018903732	0.1987879276275635	0.2960679531097412	0.1938846558332443	0.6526293754577637	0.2154795527458191	0.1907168924808502	0.3855037689208984	0.2813295125961304	0.1611751466989517	0.1815662533044815	0.399583637714386	0.4459431171417236	0.6111116409301758	0.3197866678237915	0.1764423996210098	0.265880823135376	0.2550577521324158	0.2559795677661896	0.2723463177680969	0.2224917858839035	0.2561008334159851	0.1978301852941513	0.4030545651912689	0.3042716085910797	0.1703826785087585	0.2199869006872177	0.2153465002775192	0.1743023544549942	0.1983025074005127	0.3217990696430206	0.1955188065767288	0.1589415818452835	0.2907202839851379	0.4298794269561768	0.2216303944587708	0.3847591280937195	0.1404336392879486	0.2253700196743011	0.3071083724498749	0.2312437742948532	0.4140774011611938	0.2023614794015884	0.2558140456676483	0.3017517328262329	0.3571543097496033	0.3164248764514923	0.2431514710187912	0.2510256767272949	0.2792114913463593
ERR1458765	0.3652170598506927	0.1912215650081635	0.2763516902923584	0.3133234679698944	0.1380411237478256	0.242861807346344	0	0.2623213231563568	0.2368719279766083	0.1811748743057251	0.1547534018754959	0.2588480710983276	0.5925039649009705	0.1400327533483505	0.1750306636095047	0.2175277024507523	0.2558461129665375	0.1974011808633804	0.2431968003511429	0.4114662408828735	0.2864980399608612	0.4713732004165649	0.1790594607591629	0.2435289621353149	0.2328753471374512	0.1813373118638992	0.1195027157664299	0.1191084533929825	0.199412927031517	0.2029315084218979	0.2569409608840942	0.2518119215965271	0.1783828139305115	0.2572523653507233	0.2610928416252136	0.2194546163082123	0.2266975045204163	0.2423259317874908	0.3108137547969818	0.2553691267967224	0.2495614439249039	0.3020949363708496	0.2642170786857605	0.2815510928630829	0.2169186919927597	0.246306300163269	0.2742992341518402	0.3733780980110168	0.128842368721962	0.2499167770147324	0.2896919548511505	0.1541308909654617	0.1453071534633636	0.1762395203113556	0.2073908597230911	0.2463981658220291	0.2758929431438446	0.300556093454361
ERR1458793	0.5187788009643555	0.3527266085147858	0.2837593555450439	0.2814820408821106	0.3034175932407379	0.1764801740646362	0.2623213231563568	0	0.2279959619045258	0.1746574640274048	0.3241866528987885	0.2692380845546722	0.6693962216377258	0.2734352350234985	0.2481629252433777	0.3940347731113434	0.3110795617103577	0.1573397219181061	0.1879335343837738	0.4376902878284454	0.4447291791439056	0.6185660362243652	0.3445429801940918	0.232692152261734	0.3443659543991089	0.2523339092731476	0.2818920314311981	0.2765070497989655	0.2156213670969009	0.277732789516449	0.1759486198425293	0.4020565450191498	0.3019106090068817	0.1990015804767609	0.2269982546567917	0.2005821168422699	0.1792973875999451	0.219465970993042	0.3451336622238159	0.2108426541090012	0.2174070328474045	0.3634821176528931	0.4419745802879333	0.2871988415718079	0.3945676982402802	0.1821806281805038	0.2783470153808594	0.3223665952682495	0.222261518239975	0.4182904362678528	0.2299234122037888	0.2674052715301514	0.3273943364620209	0.3531494438648224	0.323685497045517	0.2933406233787537	0.300003856420517	0.3213413059711456
ERR1458809	0.4419324398040771	0.3033794164657593	0.2067036926746368	0.2778213620185852	0.2738302946090698	0.2050703018903732	0.2368719279766083	0.2279959619045258	0	0.2119014263153076	0.2820972204208374	0.1967882812023163	0.5902337431907654	0.2231827080249786	0.2163985222578049	0.360251784324646	0.2353281676769257	0.2229478508234024	0.2214053869247437	0.3760711848735809	0.4200088977813721	0.5451021194458008	0.2972387969493866	0.1525176018476486	0.2676096558570862	0.2411618083715439	0.2220692485570908	0.2321238815784454	0.2165595144033432	0.2467817813158035	0.2265141159296036	0.3855468332767487	0.2700946629047394	0.2029086053371429	0.2179607152938843	0.2197206318378448	0.2067348808050156	0.1577855944633484	0.304757684469223	0.2189279943704605	0.1705245524644852	0.2943890392780304	0.4099401831626892	0.2074316293001175	0.368257999420166	0.1800144016742706	0.2247677594423294	0.3505028188228607	0.2161875367164612	0.3880264163017273	0.1763669103384018	0.2322192043066025	0.2817642092704773	0.3240023851394653	0.3359380960464478	0.1987187117338181	0.2578587532043457	0.2694284319877625
ERR1458829	0.4394358396530151	0.2675997316837311	0.2762638628482819	0.282895565032959	0.2302079051733017	0.1987879276275635	0.1811748743057251	0.1746574640274048	0.2119014263153076	0	0.2546997666358948	0.2643005847930908	0.593995988368988	0.1963895559310913	0.1902144104242325	0.3113358616828918	0.2522324919700623	0.1380565166473389	0.1951706558465958	0.3971233069896698	0.3757985234260559	0.5431466102600098	0.2519913613796234	0.2131544053554535	0.2711049318313599	0.1842444390058517	0.2167403697967529	0.2050115317106247	0.1414077281951904	0.1833339184522629	0.1669766008853912	0.3297495245933533	0.2280073761940002	0.1891308724880219	0.2293089181184769	0.1530778855085373	0.1745415776968002	0.1919319182634354	0.3018210828304291	0.1986637860536575	0.1999084204435349	0.3260039687156677	0.3592147827148438	0.2766578495502472	0.3142798542976379	0.1930451691150665	0.2375598251819611	0.3195347785949707	0.1390392780303955	0.3327327966690063	0.2406244874000549	0.210099458694458	0.2492043226957321	0.2698836922645569	0.2687346339225769	0.2492940425872803	0.2728138864040375	0.2951687276363373
