	ERR1458715	ERR1458739	ERR1458746	ERR1458747	ERR1458750	ERR1458752	ERR1458765	ERR1458793	ERR1458829	ERR1458831	ERR1458855	ERR1458857	ERR1458868	ERR1458871	ERR1458881	ERR1458883	ERR1458893	ERR1458899	ERR1458906	ERR1458915	ERR1458929	ERR1458931	ERR1458942	ERR1458980	ERR1458992	ERR1458999	ERR1459017	ERR1459028	ERR1459033	ERR1459034	ERR1459035	ERR1459037	ERR1459045	ERR1459063	ERR1459072	ERR1459099	ERR1459109	ERR1459110	ERR1459123	ERR1459124	ERR1459126	ERR1459131	ERR1459142	ERR1459146	ERR1459147	ERR1459152	ERR1459161	ERR1459162	ERR1459172	ERR1459204	ERR2056783	ERR2056799
ERR1458715	0.0	0.9968010236724248	0.9897632757517595	0.9974408189379399	0.9763275751759437	0.9936020473448497	0.9628918746001279	0.9987204094689699	0.9987204094689699	0.9987204094689699	0.9936020473448497	0.6679462571976967	0.9916826615483045	0.9987204094689699	0.5604606525911708	0.9916826615483045	0.9980806142034548	0.9961612284069098	0.9987204094689699	0.9987204094689699	0.799744081893794	0.9968010236724248	0.9865642994241842	0.9987204094689699	0.9980806142034548	0.9846449136276392	0.9955214331413947	0.9859245041586693	0.9987204094689699	0.9968010236724248	0.9987204094689699	0.9974408189379399	0.9948816378758797	0.9801663467690339	0.9961612284069098	0.9968010236724248	0.9974408189379399	0.9980806142034548	1.0	0.9987204094689699	0.9987204094689699	1.0	0.9955214331413947	0.9987204094689699	0.9628918746001279	0.9961612284069098	0.9968010236724248	0.9904030710172744	0.9942418426103646	0.8950735764555342	0.9987204094689699	0.9987204094689699
ERR1458739	0.9968010236724248	0.0	0.9001919385796545	0.8611644273832374	0.4510556621880998	0.9123480486244402	0.5879718490083173	0.8835572616762636	0.7076135636596289	0.5035188739603327	0.8624440179142674	0.9910428662827895	0.6705054382597568	0.6481126039667306	0.674344209852847	0.8074216250799744	0.7152911068458093	0.8579654510556622	0.9110684580934101	0.9117082533589251	0.9961612284069098	0.5854126679462572	0.6557901471529111	0.5572616762635957	0.7312859884836852	0.7498400511836213	0.9040307101727447	0.46321177223288545	0.8509277031349968	0.8061420345489443	0.8042226487523992	0.8387715930902111	0.9193857965451055	0.8790786948176583	0.8643634037108126	0.8566858605246321	0.8784388995521433	0.5438259756877799	0.891234804862444	0.5284708893154191	0.9219449776071658	0.9328214971209213	0.8969929622520794	0.5905310300703774	0.5182341650671785	0.891874600127959	0.817658349328215	0.49392194497760716	0.6813819577735125	0.8771593090211133	0.891234804862444	0.9097888675623801
ERR1458746	0.9897632757517595	0.9001919385796545	0.0	0.6928982725527831	0.8483685220729367	0.8291746641074856	0.781190019193858	0.7677543186180422	0.7728726807421625	0.8733205374280231	0.580934101087652	0.9904030710172744	0.7492002559181062	0.6634676903390915	0.9206653870761357	0.7056941778630839	0.6839411388355726	0.72552783109405	0.7696737044145874	0.9014715291106846	0.9910428662827895	0.7920665387076136	0.7376839411388356	0.8400511836212412	0.8202175303902751	0.8157389635316699	0.8809980806142035	0.7197696737044146	0.8694817658349329	0.7747920665387076	0.8470889315419066	0.7882277671145234	0.7421625079974408	0.7773512476007678	0.7044145873320538	0.782469609724888	0.7523992322456814	0.9692898272552783	0.47856685860524634	0.9545745361484325	0.6967370441458733	0.8797184900831734	0.7396033269353807	0.7978246960972489	0.9436980166346769	0.525911708253359	0.6992962252079334	0.7799104286628279	0.8950735764555342	0.6244401791426744	0.7383237364043506	0.7165706973768394
ERR1458747	0.9974408189379399	0.8611644273832374	0.6928982725527831	0.0	0.8119001919385797	0.7888675623800384	0.7799104286628279	0.7754318618042226	0.7760716570697377	0.891234804862444	0.6353166986564299	0.9987204094689699	0.7946257197696737	0.5892514395393474	0.9136276391554703	0.7600767754318618	0.7767114523352527	0.7645553422904671	0.81829814459373	0.889955214331414	0.9987204094689699	0.8234165067178503	0.7549584133077415	0.8272552783109405	0.8394113883557262	0.8317338451695457	0.9001919385796545	0.8291746641074856	0.8336532309660909	0.7581573896353166	0.7952655150351887	0.7882277671145234	0.7594369801663468	0.8374920025591811	0.817658349328215	0.727447216890595	0.672424824056302	0.9673704414587332	0.7044145873320538	0.9718490083173384	0.6385156749840051	0.7843889955214332	0.7402431222008957	0.8074216250799744	0.9513755598208573	0.6596289187460013	0.710172744721689	0.781829814459373	0.9213051823416507	0.746641074856046	0.6775431861804223	0.8406909788867563
ERR1458750	0.9763275751759437	0.4510556621880998	0.8483685220729367	0.8119001919385797	0.0	0.9033909149072297	0.5156749840051184	0.8752399232245681	0.7261676263595649	0.4984005118362124	0.8509277031349968	0.999360204734485	0.6493921944977608	0.5924504158669226	0.674344209852847	0.7613563659628919	0.7108125399872041	0.8528470889315419	0.9129878438899552	0.8739603326935381	1.0	0.5655790147152912	0.6474728087012156	0.5431861804222649	0.7069737683941139	0.7523992322456814	0.9014715291106846	0.4420985284708893	0.8432501599488164	0.7920665387076136	0.8048624440179143	0.8624440179142674	0.8797184900831734	0.9059500959692899	0.8528470889315419	0.81829814459373	0.81829814459373	0.5207933461292387	0.8291746641074856	0.5150351887396033	0.818937939859245	0.8522072936660269	0.891874600127959	0.5227127319257837	0.48432501599488165	0.8087012156110045	0.8055022392834293	0.4708893154190659	0.6493921944977608	0.8055022392834293	0.8605246321177223	0.8854766474728087
ERR1458752	0.9936020473448497	0.9123480486244402	0.8291746641074856	0.7888675623800384	0.9033909149072297	0.0	0.8259756877799105	0.689699296225208	0.7971849008317339	0.7939859245041587	0.7204094689699296	0.9948816378758797	0.8042226487523992	0.836852207293666	0.9296225207933462	0.8157389635316699	0.7498400511836213	0.7389635316698656	0.855406269993602	0.9552143314139475	0.9948816378758797	0.8624440179142674	0.838131797824696	0.8349328214971209	0.8150991682661548	0.8592450415866922	0.8611644273832374	0.8969929622520794	0.7376839411388356	0.7549584133077415	0.7703134996801023	0.7504798464491362	0.8560460652591171	0.7658349328214972	0.8413307741522713	0.7325655790147153	0.7607165706973769	0.9680102367242482	0.7799104286628279	0.9955214331413947	0.7722328854766475	0.8566858605246321	0.780550223928343	0.8310940499040307	0.9539347408829175	0.763915547024952	0.7754318618042226	0.9008317338451696	0.9660908509277031	0.8023032629558541	0.7396033269353807	0.7863083813179782
ERR1458765	0.9628918746001279	0.5879718490083173	0.781190019193858	0.7799104286628279	0.5156749840051184	0.8259756877799105	0.0	0.7671145233525272	0.599488163787588	0.6129238643634037	0.7498400511836213	0.999360204734485	0.5067178502879078	0.5041586692258477	0.6301983365323096	0.6871401151631478	0.6052463211772233	0.7536788227767115	0.8406909788867563	0.8733205374280231	1.0	0.5163147792706334	0.5956493921944978	0.508637236084453	0.6263595649392194	0.6833013435700576	0.8304542546385156	0.5604606525911708	0.8016634676903391	0.7248880358285349	0.7063339731285988	0.7312859884836852	0.8285348688419706	0.8240563019833653	0.7907869481765835	0.691618682021753	0.81829814459373	0.6820217530390275	0.7626359564939219	0.6794625719769674	0.7754318618042226	0.8490083173384517	0.8144593730006398	0.4708893154190659	0.6321177223288548	0.7671145233525272	0.7172104926423545	0.509277031349968	0.6257197696737045	0.7063339731285988	0.7888675623800384	0.8157389635316699
ERR1458793	0.9987204094689699	0.8835572616762636	0.7677543186180422	0.7754318618042226	0.8752399232245681	0.689699296225208	0.7671145233525272	0.0	0.6845809341010877	0.8419705694177864	0.7031349968010236	0.9987204094689699	0.7421625079974408	0.7440818937939859	0.9245041586692259	0.7600767754318618	0.6589891234804862	0.7012156110044786	0.7907869481765835	0.9046705054382598	0.999360204734485	0.8426103646833013	0.800383877159309	0.7683941138835573	0.72552783109405	0.8023032629558541	0.8234165067178503	0.7703134996801023	0.7485604606525912	0.7095329494561741	0.710172744721689	0.708893154190659	0.8477287268074216	0.7287268074216251	0.782469609724888	0.7178502879078695	0.8829174664107485	0.9756877799104287	0.708893154190659	0.964171465131158	0.7664747280870121	0.817658349328215	0.7607165706973769	0.7741522712731925	0.9571337172104927	0.691618682021753	0.7767114523352527	0.8682021753039028	0.9309021113243762	0.7415227127319258	0.7210492642354447	0.7607165706973769
ERR1458829	0.9987204094689699	0.7076135636596289	0.7728726807421625	0.7760716570697377	0.7261676263595649	0.7971849008317339	0.599488163787588	0.6845809341010877	0.0	0.7332053742802304	0.7127319257837492	0.999360204734485	0.5751759436980166	0.5943698016634676	0.7690339091490723	0.7152911068458093	0.5150351887396033	0.6960972488803583	0.7658349328214972	0.8752399232245681	1.0	0.654510556621881	0.6308381317978247	0.6206014075495841	0.6161228406909789	0.6967370441458733	0.7863083813179782	0.653230966090851	0.7735124760076776	0.6826615483045425	0.6602687140115163	0.6692258477287268	0.8067818298144593	0.7965451055662188	0.7741522712731925	0.7389635316698656	0.8157389635316699	0.8131797824696098	0.7364043506078055	0.8106206014075495	0.7197696737044146	0.8438899552143314	0.7799104286628279	0.6238003838771593	0.7991042866282789	0.7383237364043506	0.7575175943698017	0.6647472808701216	0.7562380038387716	0.782469609724888	0.7293666026871402	0.7914267434420985
ERR1458831	0.9987204094689699	0.5035188739603327	0.8733205374280231	0.891234804862444	0.4984005118362124	0.7939859245041587	0.6129238643634037	0.8419705694177864	0.7332053742802304	0.0	0.8119001919385797	1.0	0.7005758157389635	0.6442738323736404	0.691618682021753	0.7939859245041587	0.6826615483045425	0.889955214331414	0.9097888675623801	0.9699296225207934	1.0	0.5898912348048625	0.6436340371081254	0.5015994881637876	0.7543186180422264	0.8208573256557902	0.8905950095969289	0.4017914267434421	0.8010236724248241	0.8957133717210493	0.8016634676903391	0.8854766474728087	0.8739603326935381	0.8400511836212412	0.8675623800383877	0.8150991682661548	0.7287268074216251	0.30646193218170187	0.8214971209213052	0.34996801023672425	0.8841970569417786	0.8656429942418427	0.9033909149072297	0.5777351247600768	0.2943058221369162	0.8400511836212412	0.855406269993602	0.5521433141394754	0.7236084452975048	0.8854766474728087	0.8227767114523352	0.8797184900831734
