	faith_pd
ERR1458715	12.55202368343604
ERR1458739	11.3085556541824
ERR1458746	13.20205721209863
ERR1458747	11.78297471892551
ERR1458750	17.08259935932499
ERR1458752	13.98753971873493
ERR1458765	16.14389816659236
ERR1458793	20.97799022006867
ERR1458809	20.85301012538684
ERR1458829	20.32165734497589
ERR1458831	6.948014115260568
ERR1458855	15.80898522936005
ERR1458857	15.62287316327713
ERR1458868	24.28684907628215
ERR1458871	10.20465845070742
ERR1458881	8.22677358104208
ERR1458883	27.1861570164048
ERR1458893	15.6625728216025
ERR1458899	28.39502197553427
ERR1458906	13.81216273535003
ERR1458915	13.99728980965249
ERR1458929	7.847914686094231
ERR1458931	16.63843535376052
ERR1458936	19.88898514207911
ERR1458937	11.24703739774412
ERR1458942	16.22151702741019
ERR1458974	13.09353338243926
ERR1458980	26.26774700658254
ERR1458992	21.75344133659468
ERR1458999	20.13973794634543
ERR1459008	28.70432282358809
ERR1459017	17.1820003576075
ERR1459028	22.38717581912018
ERR1459033	15.90526714528695
ERR1459034	15.54333835935589
ERR1459035	21.86185445438809
ERR1459037	19.22681835085946
ERR1459045	16.32167837200115
ERR1459063	15.67762178284533
ERR1459072	13.06678558230928
ERR1459099	16.27075912228741
ERR1459109	18.41080030417691
ERR1459110	26.16285008782604
ERR1459123	49.51780640128947
ERR1459124	7.791850736614077
ERR1459126	12.72863043667822
ERR1459131	11.97689572608858
ERR1459142	16.63395408778498
ERR1459146	12.86419688724711
ERR1459147	4.970969528753374
ERR1459152	15.78958828326048
ERR1459161	18.29105045400684
ERR1459162	7.820522020659707
ERR1459172	14.6107801629851
ERR1459203	11.83840703876105
ERR1459204	23.6842134097249
ERR2056783	19.86132713292465
ERR2056799	23.03123266192362
