	ERR1458739	ERR1458746	ERR1458747	ERR1458750	ERR1458752	ERR1458765	ERR1458793	ERR1458809	ERR1458829	ERR1458831	ERR1458855	ERR1458857	ERR1458868	ERR1458871	ERR1458881	ERR1458883	ERR1458893	ERR1458899	ERR1458906	ERR1458915	ERR1458929	ERR1458931	ERR1458936	ERR1458937	ERR1458942	ERR1458980	ERR1458992	ERR1458999	ERR1459008	ERR1459017	ERR1459028	ERR1459033	ERR1459034	ERR1459037	ERR1459045	ERR1459063	ERR1459072	ERR1459099	ERR1459109	ERR1459123	ERR1459124	ERR1459126	ERR1459131	ERR1459142	ERR1459146	ERR1459147	ERR1459152	ERR1459161	ERR1459162	ERR1459172	ERR1459203	ERR1459204	ERR2056783	ERR2056799
ERR1458739	0.0	0.9044016506189821	0.8672627235213205	0.48074277854195324	0.8968363136176066	0.5928473177441541	0.8713892709766162	0.9009628610729024	0.6960110041265475	0.5137551581843192	0.8562585969738652	0.9951856946354883	0.6843191196698762	0.6354883081155434	0.6547455295735901	0.8225584594222833	0.7303988995873453	0.8555708390646493	0.920907840440165	0.9154057771664375	0.9972489683631361	0.6176066024759285	0.8521320495185695	0.6746905089408528	0.6980742778541953	0.5749656121045392	0.7180192572214581	0.7365887207702888	0.8074277854195323	0.8823933975240715	0.48762035763411277	0.8576341127922971	0.8053645116918845	0.827372764786795	0.9174690508940853	0.8734525447042641	0.8610729023383769	0.8569463548830811	0.8741403026134801	0.8796423658872077	0.5433287482806052	0.9140302613480055	0.9277854195323246	0.9023383768913342	0.5907840440165062	0.5357634112792297	0.8947730398899587	0.81292984869326	0.46698762035763414	0.6939477303988996	0.8459422283356258	0.8796423658872077	0.8782668500687758	0.9167812929848693
ERR1458746	0.9044016506189821	0.0	0.6629986244841816	0.8404401650618982	0.828060522696011	0.7778541953232462	0.7537826685006878	0.6464924346629987	0.750343878954608	0.8658872077028886	0.5667125171939478	0.9931224209078404	0.7448418156808804	0.6698762035763411	0.9250343878954608	0.7097661623108665	0.6795048143053645	0.6980742778541953	0.7640990371389271	0.8933975240715268	0.9924346629986245	0.7867950481430537	0.7414030261348006	0.6953232462173315	0.6925722145804677	0.8218707015130674	0.827372764786795	0.8211829436038515	0.7537826685006878	0.875515818431912	0.7097661623108665	0.8521320495185695	0.7696011004126547	0.7757909215955984	0.7200825309491059	0.7668500687757909	0.7070151306740028	0.7634112792297112	0.7420907840440165	0.4656121045392022	0.9580467675378267	0.6815680880330124	0.8603851444291609	0.7262723521320495	0.7634112792297112	0.9325997248968363	0.5068775790921596	0.6774415405777167	0.7916093535075653	0.8961485557083907	0.875515818431912	0.6079779917469051	0.717331499312242	0.7214580467675378
ERR1458747	0.8672627235213205	0.6629986244841816	0.0	0.8019257221458047	0.7861072902338377	0.7867950481430537	0.7744154057771664	0.7420907840440165	0.7702888583218707	0.9023383768913342	0.6258596973865199	1.0	0.782668500687758	0.5811554332874828	0.9236588720770289	0.7647867950481431	0.7620357634112792	0.7647867950481431	0.8294360385144429	0.8803301237964236	1.0	0.8184319119669876	0.7242090784044016	0.7338376891334251	0.7420907840440165	0.8225584594222833	0.8493810178817056	0.8328748280605227	0.8019257221458047	0.9140302613480055	0.8253094910591472	0.8266850068775791	0.7379642365887208	0.7881705639614855	0.7338376891334251	0.8459422283356258	0.8259972489683631	0.6973865199449794	0.6705639614855571	0.703576341127923	0.9635488308115543	0.6526822558459422	0.7922971114167813	0.7242090784044016	0.7984869325997249	0.9552957359009628	0.6774415405777167	0.7138927097661623	0.7847317744154058	0.9181568088033012	0.9105914718019257	0.7455295735900963	0.6685006877579092	0.8342503438789546
ERR1458750	0.48074277854195324	0.8404401650618982	0.8019257221458047	0.0	0.9044016506189821	0.5247592847317745	0.8459422283356258	0.8211829436038515	0.7248968363136176	0.5075653370013755	0.8500687757909215	0.9993122420907841	0.657496561210454	0.577028885832187	0.6657496561210454	0.7620357634112792	0.718707015130674	0.8459422283356258	0.9257221458046767	0.8686382393397524	1.0	0.5660247592847317	0.8762035763411279	0.6519944979367263	0.6623108665749656	0.5591471801925723	0.6980742778541953	0.749656121045392	0.8473177441540578	0.9002751031636864	0.43810178817056394	0.8218707015130674	0.8019257221458047	0.8569463548830811	0.8720770288858322	0.9044016506189821	0.8335625859697386	0.8046767537826685	0.7971114167812929	0.8184319119669876	0.5226960110041265	0.8225584594222833	0.8294360385144429	0.8933975240715268	0.4972489683631362	0.49449793672627235	0.7929848693259972	0.7833562585969739	0.44222833562585967	0.6533700137551581	0.828060522696011	0.7861072902338377	0.8370013755158184	0.9050894085281981
ERR1458752	0.8968363136176066	0.828060522696011	0.7861072902338377	0.9044016506189821	0.0	0.8067400275103164	0.6946354883081155	0.874828060522696	0.7730398899587345	0.7778541953232462	0.6987620357634112	0.9917469050894085	0.8143053645116919	0.8500687757909215	0.9298486932599724	0.8356258596973866	0.7592847317744154	0.7613480055020633	0.8624484181568088	0.9491059147180193	0.9924346629986245	0.8810178817056397	0.657496561210454	0.782668500687758	0.8349381017881705	0.8466299862448419	0.812242090784044	0.8466299862448419	0.8198074277854195	0.8762035763411279	0.8975240715268226	0.7317744154057771	0.7551581843191196	0.7778541953232462	0.8535075653370013	0.7929848693259972	0.8404401650618982	0.7166437414030261	0.7634112792297112	0.7943603851444292	0.9924346629986245	0.7909215955983494	0.8707015130674003	0.7785419532324622	0.8459422283356258	0.9594222833562586	0.7696011004126547	0.7751031636863824	0.9085281980742779	0.9635488308115543	0.8693259972489684	0.8060522696011004	0.7276478679504814	0.7922971114167813
ERR1458765	0.5928473177441541	0.7778541953232462	0.7867950481430537	0.5247592847317745	0.8067400275103164	0.0	0.7634112792297112	0.7359009628610729	0.5742778541953233	0.6155433287482807	0.7565337001375516	0.9993122420907841	0.5199449793672627	0.5020632737276479	0.6148555708390646	0.7138927097661623	0.6148555708390646	0.7517193947730398	0.8431911966987621	0.8720770288858322	1.0	0.5295735900962861	0.7634112792297112	0.5598349381017882	0.6148555708390646	0.5268225584594223	0.6258596973865199	0.6774415405777167	0.7297111416781293	0.8218707015130674	0.5742778541953233	0.7785419532324622	0.7228335625859698	0.7475928473177441	0.8177441540577717	0.7971114167812929	0.8101788170563962	0.7015130674002751	0.8039889958734525	0.7544704264099037	0.688445667125172	0.7847317744154058	0.8459422283356258	0.7902338376891335	0.48830811554332876	0.6354883081155434	0.7668500687757909	0.7152682255845942	0.53232462173315	0.6382393397524071	0.7757909215955984	0.6953232462173315	0.7936726272352133	0.8177441540577717
ERR1458793	0.8713892709766162	0.7537826685006878	0.7744154057771664	0.8459422283356258	0.6946354883081155	0.7634112792297112	0.0	0.7214580467675378	0.6781292984869326	0.8266850068775791	0.7028885832187071	0.9972489683631361	0.7379642365887208	0.7393397524071527	0.9222833562585969	0.7792297111416782	0.657496561210454	0.7090784044016506	0.7785419532324622	0.889958734525447	0.9979367262723521	0.8328748280605227	0.6698762035763411	0.7819807427785419	0.796423658872077	0.7819807427785419	0.7379642365887208	0.7737276478679505	0.7166437414030261	0.8225584594222833	0.7647867950481431	0.7475928473177441	0.6788170563961485	0.6946354883081155	0.8266850068775791	0.7441540577716643	0.7771664374140302	0.688445667125172	0.8562585969738652	0.7083906464924347	0.9711141678129298	0.7551581843191196	0.8253094910591472	0.7558459422283357	0.7407152682255846	0.9594222833562586	0.6740027510316369	0.7647867950481431	0.8803301237964236	0.9222833562585969	0.8335625859697386	0.7303988995873453	0.6980742778541953	0.765474552957359
ERR1458809	0.9009628610729024	0.6464924346629987	0.7420907840440165	0.8211829436038515	0.874828060522696	0.7359009628610729	0.7214580467675378	0.0	0.7386519944979367	0.8851444291609354	0.717331499312242	0.9986244841815681	0.7579092159559835	0.718707015130674	0.9264099037138928	0.6740027510316369	0.7462173314993122	0.7317744154057771	0.7627235213204951	0.8892709766162311	0.9993122420907841	0.7984869325997249	0.7867950481430537	0.7627235213204951	0.765474552957359	0.7606602475928473	0.7888583218707015	0.7998624484181568	0.734525447042641	0.8404401650618982	0.7764786795048143	0.842503438789546	0.7056396148555708	0.7111416781292985	0.6616231086657497	0.7909215955983494	0.7517193947730398	0.7118294360385145	0.8033012379642366	0.6086657496561211	0.952544704264099	0.6843191196698762	0.844566712517194	0.7757909215955984	0.7290233837689133	0.9497936726272352	0.6485557083906465	0.7359009628610729	0.8005502063273727	0.8803301237964236	0.8810178817056397	0.6939477303988996	0.7200825309491059	0.7867950481430537
ERR1458829	0.6960110041265475	0.750343878954608	0.7702888583218707	0.7248968363136176	0.7730398899587345	0.5742778541953233	0.6781292984869326	0.7386519944979367	0.0	0.7015130674002751	0.7214580467675378	0.9993122420907841	0.5729023383768913	0.5880330123796423	0.7544704264099037	0.7262723521320495	0.5027510316368639	0.6925722145804677	0.7723521320495186	0.8858321870701513	1.0	0.640990371389271	0.7083906464924347	0.6121045392022009	0.6052269601100413	0.5976616231086658	0.5845942228335625	0.6980742778541953	0.6045392022008254	0.78060522696011	0.6389270976616231	0.7524071526822559	0.686382393397524	0.6595598349381018	0.7847317744154058	0.7785419532324622	0.781292984869326	0.718707015130674	0.8019257221458047	0.7269601100412655	0.8019257221458047	0.7434662998624484	0.8411279229711142	0.7620357634112792	0.6011004126547456	0.7785419532324622	0.7427785419532325	0.7303988995873453	0.6581843191196699	0.7530949105914718	0.782668500687758	0.7833562585969739	0.7152682255845942	0.8053645116918845
ERR1458831	0.5137551581843192	0.8658872077028886	0.9023383768913342	0.5075653370013755	0.7778541953232462	0.6155433287482807	0.8266850068775791	0.8851444291609354	0.7015130674002751	0.0	0.796423658872077	1.0	0.6946354883081155	0.6451169188445667	0.6850068775790922	0.8005502063273727	0.7070151306740028	0.8920220082530949	0.9257221458046767	0.9683631361760661	1.0	0.6045392022008254	0.7482806052269602	0.5729023383768913	0.68707015130674	0.5110041265474553	0.7303988995873453	0.8019257221458047	0.7971114167812929	0.8651994497936726	0.42778541953232463	0.7627235213204951	0.8885832187070152	0.8638239339752407	0.8789546079779917	0.8418156808803301	0.8707015130674003	0.8081155433287482	0.7028885832187071	0.8266850068775791	0.35694635488308113	0.8789546079779917	0.8700137551581844	0.8947730398899587	0.5818431911966988	0.3149931224209078	0.8294360385144429	0.8418156808803301	0.5275103163686382	0.7228335625859698	0.8163686382393398	0.874828060522696	0.8081155433287482	0.8913342503438789
